term,gloss,is_phrase,repaired,original_key
ვერცა ჩემდა შემძლებელ ხარ განყვანებად,ვერც ჩემი (ციხიდან) გაყვანა შეგიძლია,True,False,
გარნა თრევით გამითრიო,თუ არ გამათრევ,True,False,
ნანდჳლვე ვთქუ,ნამდვილად ვთქვი,True,False,
კეთილად,კარგად,False,False,
მაგით სახით,მაგ ხერხით (მაგგვარად),True,False,
ეგულვებოდა,"ფიქრობდა, განზრახული ჰქონდა",False,False,
შეტყუვილი,მიტყუება,False,False,
ზრახვაჲ,განზრახვა,False,False,
გულსა მოეჴადა,მოეფიქრებინა,True,False,
გგონიეს,გგონია,False,False,
განუმზადნის სიტყუანი პირსა კაცისასა,აქ: ღმერთი წინასწარ უმზადებს ადამიანებს სათქმელს,True,False,
რამეთუ იტყჳს თჳთ უფალი,რადგანაც თვითონ ღმერთი ამბობს,True,False,
მე მიუგო სიტყუაჲ თქუენ წილ,მე ვუპასუხებ თქვენ მაგიერ,True,False,
ჯეკმა დამაშურალობითა შრომათა მათ შინა,"დიდი, ძლიერი ტანჯვის, გასაჭირის ატანა",True,False,
სენი სნეულებისაჲ,ავადმყოფობა,True,False,
წინაჲსწარ უღაღადებდი,წინასწარ ვეუბნებოდი,True,False,
ვეტყოდე,ვეუბნებოდი,False,False,
ვეტყოდე,ვეუბნებოდი,False,False,
დაუმძიმებ ჴორცთა მაგათ ზედა,აწუხებ სხეულს,True,False,
ვერ დაგითმონ,ვერ გაგიძლებენ (ვერ აიტანენ ტანჯვას),True,False,
ვერღარას შემძლებელ იყო ყოფად რაჲსმე საქმედ კეთილსა,კარგი საქმის გაკეთებას ვეღარ შესძლებ,True,False,
